budget_user_id,month_year,group,budget_user_name,Zaposlitve,Bruto placa,NA1,C,NA2,D,NA3,E,NA4,NA5,NA6,I,NA7,J,NA8,O,NA9
76589,2020-01,2.1. OBČINE,OBČINA HAJDINA,8,12.800,1.600,728,91,0,0,431,54,0,0,735,92,0,0,0,0
76597,2020-01,2.1. OBČINE,OBČINA HOČE - SLIVNICA,30,45.115,1.504,2.428,81,2.253,75,1.623,54,0,0,3.400,113,0,0,0,0
76600,2020-01,2.1. OBČINE,OBČINA HODOŠ,3,3.510,1.170,212,71,0,0,0,0,0,0,272,91,0,0,0,0
76619,2020-01,2.1. OBČINE,OBČINA HORJUL,8,14.678,1.835,457,57,1.433,179,0,0,0,0,598,75,0,0,0,0
76627,2020-01,2.1. OBČINE,OBČINA JEZERSKO,5,10.787,2.157,434,87,0,0,0,0,0,0,596,119,0,0,0,0
76635,2020-01,2.1. OBČINE,Občina Komenda,11,24.711,2.246,1.725,157,0,0,373,34,205,19,1.062,97,0,0,0,0
76643,2020-01,2.1. OBČINE,OBČINA KOSTEL,9,10.826,1.203,610,68,0,0,0,0,0,0,532,59,0,0,0,0
76651,2020-01,2.1. OBČINE,OBČINA KRIŽEVCI,7,11.639,1.663,673,96,0,0,0,0,0,0,873,125,0,0,0,0
76660,2020-01,2.1. OBČINE,Občina Lovrenc na Pohorju,14,24.624,1.759,1.235,88,785,56,402,29,0,0,1.135,81,0,0,0,0
76678,2020-01,2.1. OBČINE,OBČINA MARKOVCI,10,20.642,2.064,1.543,154,442,44,0,0,0,0,1.148,115,0,0,0,0
76686,2020-01,2.1. OBČINE,Občina Miklavž na Dravskem polju,24,42.154,1.756,2.396,100,673,28,1.075,45,0,0,2.835,118,288,12,0,0
76694,2020-01,2.1. OBČINE,OBČINA MIRNA PEČ,11,24.079,2.189,1.215,110,1.267,115,618,56,0,0,1.160,105,0,0,0,0
76708,2020-01,2.1. OBČINE,OBČINA OPLOTNICA,11,18.703,1.700,1.166,106,0,0,753,68,0,0,1.147,104,0,0,0,0
76716,2020-01,2.1. OBČINE,OBČINA PODLEHNIK,7,10.186,1.455,750,107,0,0,151,22,0,0,713,102,0,0,0,0
76724,2020-01,2.1. OBČINE,OBČINA POLZELA,27,43.012,1.593,2.053,76,63,2,1.723,64,0,0,2.557,95,0,0,0,0
76732,2020-01,2.1. OBČINE,Občina Prebold,10,17.977,1.798,1.005,101,0,0,0,0,0,0,2,0,0,0,0,0
76740,2020-01,2.1. OBČINE,OBČINA PREVALJE,12,23.528,1.961,1.434,119,286,24,660,55,0,0,1.024,85,0,0,0,0
76759,2020-01,2.1. OBČINE,OBČINA RAZKRIŽJE,6,8.778,1.463,422,70,0,0,0,0,0,0,554,92,0,0,0,0
76767,2020-01,2.1. OBČINE,OBČINA RIBNICA NA POHORJU,3,5.757,1.919,286,95,0,0,0,0,0,0,304,101,0,0,0,0
76775,2020-01,2.1. OBČINE,Občina Selnica ob Dravi,15,25.440,1.696,1.592,106,0,0,0,0,0,0,1.975,132,0,0,0,0
76783,2020-01,2.1. OBČINE,OBČINA SODRAŽICA,5,12.436,2.487,558,112,297,59,214,43,0,0,414,83,0,0,0,0
76791,2020-01,2.1. OBČINE,Občina Solčava,8,14.965,1.871,1.082,135,0,0,0,0,0,0,635,79,0,0,0,0
76805,2020-01,2.1. OBČINE,OBČINA SVETA ANA,9,15.229,1.692,992,110,0,0,0,0,0,0,932,104,0,0,0,0
76813,2020-01,2.1. OBČINE,OBČINA SV. ANDRAŽ V SLOVENSKIH GORICAH,4,7.877,1.969,440,110,0,0,0,0,0,0,529,132,0,0,0,0
76821,2020-01,2.1. OBČINE,Občina Tabor,10,17.783,1.778,876,88,0,0,131,13,0,0,1.244,124,0,0,0,0
76830,2020-01,2.1. OBČINE,OBČINA TRNOVSKA VAS,6,9.601,1.600,780,130,0,0,0,0,0,0,599,100,0,0,0,0
